Genus,Species,Code,NFI_CODE,den0,rel1,unc1,cod1,rel2,unc2,cod2,rel3,unc3,cod3,rel4,unc4,cod4
Cupressus,species,CUSP,CUPR_SPE,0.44,0.994,0.071,B,0.951,0.26,B,0.902,0.146,B,0.605,0.218,C
Diospyros,virginiana,DIVI,DIOS_VIR,0.64,0.982,0.129,B,0.793,0.201,B,0.618,0.171,B,0.525,0.223,C
Eucalyptus,species,EUSP,EUCA_SPE,0.67,0.982,0.129,B,0.793,0.201,B,0.618,0.171,B,0.525,0.223,C
Fagus,grandifolia,FAGR,FAGU_GRA,0.56,1.015,0.056,B,0.663,0.041,B,0.508,0.076,B,0.533,0.213,C
Fraxinus,americana,FRAM,FRAX_AME,0.55,0.899,0.061,B,0.562,0.049,B,0.604,0.079,B,0.525,0.223,C
Fraxinus,latifolia,FRLA,FRAX_LAT,0.5,0.899,0.118,B,0.622,0.159,B,0.575,0.162,B,0.525,0.223,C
Fraxinus,nigra,FRNI,FRAX_NIG,0.45,0.899,0.118,B,0.622,0.159,B,0.575,0.162,B,0.525,0.223,C
Fraxinus,pennsylvanica,FRPE,FRAX_PEN,0.53,0.899,0.118,B,0.622,0.159,B,0.575,0.162,B,0.525,0.223,C
Fraxinus,profunda,FRPR,FRAX_PRO,0.54,0.899,0.118,B,0.622,0.159,B,0.575,0.162,B,0.525,0.223,C
Fraxinus,quadrangulata,FRQU,FRAX_QUA,0.53,0.899,0.118,B,0.622,0.159,B,0.575,0.162,B,0.525,0.223,C
Fraxinus,species,FRSP,FRAX_SPE,0.54,0.899,0.118,B,0.622,0.159,B,0.575,0.162,B,0.525,0.223,C
Gleditsia,aquatica,GLAQ,GLED_AQU,0.6,0.982,0.129,B,0.793,0.201,B,0.618,0.171,B,0.525,0.223,C
Gleditsia,triacanthos,GLTR,GLED_TRI,0.6,0.982,0.129,B,0.793,0.201,B,0.618,0.171,B,0.525,0.223,C
Gordonia,lasianthus,GOLA,GORD_LAS,0.37,0.982,0.129,B,0.793,0.201,B,0.618,0.171,B,0.525,0.223,C
